step,x,y,z,J1,J2,J3,J4,J5,J6,J7
0,0.400197563032923,-3.3305170847674516e-05,0.703599180923741,-0.010613163696336306,0.005673966657958406,2.5444437451708134e-14,-90.0039535994786,-0.001102364590882448,89.99991273554475,0.0
0.02,0.4002264406995014,-0.00010890066335183341,0.7035319275810864,-0.021224991406301883,0.01134851473240636,2.5444437451708134e-14,-90.0079075633064,-0.002204298554278687,89.99982542373054,0.0
0.04,0.40068749494434286,9.589296611377468e-05,0.7031320802982993,0.013443273582637383,0.07449760244259335,-0.008320337645290858,-90.00191706889353,0.013171179149366736,89.94387739720247,0.018078434305232247
0.06,0.4020676332953861,0.0007134686420006615,0.7019295092894949,0.11745950598642524,0.26394495168949667,-0.033281350581239766,-89.98394562412538,0.05930163407821149,89.77602116571676,0.07231768776018983
0.08,0.40435771898818307,0.001753359960786524,0.6999151509491789,0.29082777470197313,0.5796907127833825,-0.07488303880784672,-89.9539933310196,0.1361900513890513,89.49624452794316,0.16272171090436263
0.1,0.40754232299889365,0.0032312880741421058,0.6970739798238046,0.5335416836024691,1.0217350560159575,-0.13312540232500994,-89.9120603363234,0.2438362735013808,89.10454754276287,0.2892905037379796
0.12,0.41159943323475984,0.005168907966983022,0.6933851331010649,0.845612875958754,1.5900782377753988,-0.20800844113285666,-89.85814680236928,0.38224019015038174,88.60093027890284,0.4520240662610154
0.14,0.4165000516168769,0.007593447760509535,0.68882209244607,1.2270343326988966,2.2847205361506804,-0.299532155231336,-89.79225283512339,0.5514018472583275,87.985392792119,0.6509223984734953
0.16,0.42220768679026704,0.010537234269310882,0.6833529299465299,1.6777996562039217,3.105662107458991,-0.4076965446204479,-89.71437836490435,0.7513215440208876,87.25793512185892,0.8859855003754449
0.18,0.4286777501327007,0.014037090137788272,0.676940623477919,2.1979240118074914,4.052902738360122,-0.532501609300167,-89.62452300764592,0.9819998524923979,86.4185573068399,1.1572133719668132
0.2,0.43585686837985715,0.01813357814522605,0.6695434413922413,2.7874039224450433,5.126441549259743,-0.6739473492705187,-89.52268597986792,1.243437471233197,85.46725941424944,1.4646060132477021
0.22,0.4436821370101705,0.02287006348331401,0.6611153902752399,3.4462459022714067,6.326276859411035,-0.832033764531503,-89.40886614808122,1.5356349360773374,84.40404160216625,1.8081634242180606
0.24,0.45208035023787074,0.028291572069474025,0.6516067205645546,4.174470647250878,7.6524063420780495,-1.0067608550830944,-89.28306224132521,1.8585923515400846,83.22890416271876,2.18788560487794
